neighborhood,description,space,price,bedrooms,agent,price_inc,address,interior,zip_code
<span>Stadsdeel Centrum</span>,,"189 m²,189 m²","€ 3.950,-,€ 3.950,-",1,,,,Furnished,1012 SC Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"100 m²,100 m²","€ 1.700,-,€ 1.700,-",2,,Price inclusive: Exclusive,,Furnished,1017 AX Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"57 m²,57 m²","€ 2.250,-,€ 2.250,-",2,,"exclusive:  Gas, Water, Electricity",,"Furnished,or unfurnished",1016 AK Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"56 m²,56 m²","€ 1.500,-,€ 1.500,-",2,,,,Unfurnished,1012 GA Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"80 m²,80 m²","€ 1.850,-,€ 1.850,-",1,,,,Furnished,1017 EK Amsterdam (Noord-Holland)
,,,,,,,,,
<span>Stadsdeel Centrum</span>,,"120 m²,120 m²","€ 2.250,-,€ 2.250,-",2,,Quality of public transportation: Good,,Furnished,1012 VX Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"76 m²,76 m²","€ 1.950,-,€ 1.950,-",2,,Price inclusive: Exclusive,,"Furnished,or unfurnished",1012 KD Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"101 m²,101 m²","€ 2.500,-,€ 2.500,-",2,,,,Furnished,1017 EM Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"130 m²,130 m²","€ 3.250,-,€ 3.250,-",3,,,,"Furnished,or unfurnished",1012 KD Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"84 m²,84 m²","€ 1.950,-,€ 1.950,-",1,,"exclusive:  Gas, Water, Electricity",,Furnished,1017 DM Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"200 m²,200 m²","€ 5.000,-,€ 5.000,-",3,,,,Furnished,1017 DJ Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"63 m²,63 m²","€ 1.750,-,€ 1.750,-",2,,,,Unfurnished,1012 WX Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"45 m²,45 m²","€ 1.200,-,€ 1.200,-",1,,Quality of public transportation: Good,,Unfurnished,1012 NC Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"80 m²,80 m²","€ 1.650,-,€ 1.650,-",2,,,,Shell,1012 LC Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"75 m²,75 m²","€ 1.700,-,€ 1.700,-",1,,Bath tub,,Furnished,1012 TK Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"90 m²,90 m²","€ 2.550,-,€ 2.550,-",1,,Quality of public transportation: Average,,Furnished,1017 BS Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"80 m²,80 m²","€ 2.000,-,€ 2.000,-",2,,Quality of public transportation: Good,,Furnished,1012 XJ Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"130 m²,130 m²","€ 3.500,-,€ 3.500,-",2,,Quality of public transportation: Average,,Furnished,1012 WP Amsterdam (Noord-Holland)
